dateid01,dateid,a072rc1q156sbea,b069rc1q027sbea,b703rc1q027sbea,cpiaucsl,dgs3,dpcerd3q086sbea,dpi,dpic96,dprime,fygfdpun,hnonwrq027s,hnotasq027s,hnotfaq027s,hnotolq027s,irltlt01usq156n,pcdg,pcec,pcecc96,pcesv,pincome,rpi,unrate,ussthpi,w211rc1q027sbea,w986rc1q027sbea
1945-01-01,1945-03-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945-04-01,1945-06-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945-07-01,1945-09-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945-10-01,1945-12-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767255.9,797839.9,608512.9,30584.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-01-01,1946-03-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-04-01,1946-06-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-07-01,1946-09-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-10-01,1946-12-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843385.8,880826.8,660110.8,37441.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-01-01,1947-03-31 23:59:59.999,7.5,0.9,6.0,22.000,NA,13.030,171.0,1312.3,NA,NA,NA,NA,NA,NA,NA,20.7,156.3,1199.4,60.7,190.2,NA,NA,NA,0.9,12.9
1947-04-01,1947-06-30 23:59:59.999,5.0,0.9,6.3,22.080,NA,13.135,170.4,1297.4,NA,NA,NA,NA,NA,NA,NA,21.4,160.2,1219.3,61.9,189.9,NA,NA,NA,0.8,8.5
1947-07-01,1947-09-30 23:59:59.999,7.0,1.0,6.5,22.840,NA,13.380,178.0,1330.7,NA,NA,NA,NA,NA,NA,NA,21.8,163.7,1223.3,63.2,197.8,NA,NA,NA,0.9,12.5
1947-10-01,1947-12-31 23:59:59.999,5.7,1.0,6.4,23.410,NA,13.713,179.8,1311.5,NA,NA,940917.7,987385.7,706570.7,46468.0,NA,23.5,167.8,1223.6,64.3,200.6,NA,NA,NA,0.9,10.2
1948-01-01,1948-03-31 23:59:59.999,6.9,1.2,7.0,23.500,NA,13.865,185.4,1337.3,NA,NA,NA,NA,NA,NA,NA,23.5,170.5,1229.8,65.4,206.6,NA,4.0,NA,1.0,12.8
1948-04-01,1948-06-30 23:59:59.999,8.6,1.3,6.7,24.150,NA,14.008,193.2,1379.1,NA,NA,NA,NA,NA,NA,NA,24.0,174.3,1244.1,67.1,212.1,NA,3.6,NA,1.0,16.7
1948-07-01,1948-09-30 23:59:59.999,10.0,1.3,7.1,24.360,NA,14.223,199.4,1401.7,NA,NA,NA,NA,NA,NA,NA,25.3,177.2,1245.9,68.5,217.6,NA,3.8,NA,0.9,19.9
1948-10-01,1948-12-31 23:59:59.999,9.8,1.4,7.4,24.050,NA,14.179,199.9,1409.5,NA,NA,992509.4,1047618.4,733931.4,55109.0,NA,25.0,178.1,1255.8,69.4,218.3,NA,4.0,NA,0.9,19.5
1949-01-01,1949-03-31 23:59:59.999,7.8,1.4,7.2,23.910,NA,14.069,194.4,1381.8,NA,NA,NA,NA,NA,NA,NA,24.4,177.0,1257.9,69.8,212.2,NA,5.0,NA,0.9,15.2
1949-04-01,1949-06-30 23:59:59.999,6.8,1.5,7.2,23.920,NA,13.983,194.2,1388.6,NA,NA,NA,NA,NA,NA,NA,26.4,178.6,1277.1,70.3,211.2,NA,6.2,NA,0.8,13.2
1949-07-01,1949-09-30 23:59:59.999,7.2,1.6,7.1,23.750,NA,13.902,194.3,1397.5,NA,NA,NA,NA,NA,NA,NA,27.3,177.9,1280.0,70.4,210.6,NA,6.6,NA,0.8,13.9
1949-10-01,1949-12-31 23:59:59.999,6.3,1.7,7.4,23.610,NA,13.889,195.2,1405.4,NA,NA,1034131.3,1097540.3,757469.3,63409.0,NA,28.4,180.4,1298.8,71.1,211.0,NA,6.6,NA,0.8,12.3
1950-01-01,1950-03-31 23:59:59.999,11.5,1.8,8.3,23.640,NA,13.864,209.9,1513.7,NA,NA,NA,NA,NA,NA,NA,29.3,183.1,1320.4,72.3,226.5,NA,6.3,NA,0.8,24.2
1950-04-01,1950-06-30 23:59:59.999,9.8,2.0,8.4,23.880,NA,13.930,210.2,1509.2,NA,NA,NA,NA,NA,NA,NA,29.8,187.0,1342.1,74.4,227.8,NA,5.4,NA,0.8,20.6
1950-07-01,1950-09-30 23:59:59.999,6.3,2.1,9.2,24.340,NA,14.221,217.3,1528.1,NA,NA,NA,NA,NA,NA,NA,37.4,200.7,1411.0,76.7,236.2,NA,4.4,NA,0.7,13.8
1950-10-01,1950-12-31 23:59:59.999,9.7,2.2,9.5,24.980,NA,14.476,222.6,1537.5,NA,NA,1127574.8,1204475.8,817177.8,76901.0,NA,33.3,198.1,1368.4,78.1,245.1,NA,4.3,NA,0.7,21.5
1951-01-01,1951-03-31 23:59:59.999,7.7,2.2,8.4,25.880,NA,14.938,229.9,1539.3,NA,NA,NA,NA,NA,NA,NA,35.6,209.4,1401.5,81.8,254.4,NA,3.4,NA,0.7,17.6
1951-04-01,1951-06-30 23:59:59.999,12.2,2.2,8.6,25.930,NA,15.059,237.0,1573.5,NA,NA,NA,NA,NA,NA,NA,30.7,205.1,1361.9,82.9,263.3,NA,3.2,NA,0.7,28.9
1951-07-01,1951-09-30 23:59:59.999,12.2,2.2,8.6,26.030,NA,15.080,240.0,1591.4,NA,NA,NA,NA,NA,NA,NA,30.2,207.8,1377.7,84.4,267.8,NA,3.3,NA,0.7,29.3
