dateid01,dateid,assets,assets_fin,assets_nonfinancial,c_deflator,consumer_sentiment,cpi,gov_debt,gov_transfers,house_prices,interest_payments,liabilities,mortgage_30y,n_piy,nc,ndc,ndy,net_worth,nly,nsc,ny,prime_rate,r_piy,rc,rdy,rly,ry,saving,saving_rate,unemp,y_deflator,yield_10y,yield_3m
1945-01-01,1945-03-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945-04-01,1945-06-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945-07-01,1945-09-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945-10-01,1945-12-31 23:59:59.999,797839.9,608512.9,189327,NA,NA,NA,NA,NA,NA,NA,30584.0,NA,NA,NA,NA,NA,767255.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-01-01,1946-03-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-04-01,1946-06-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-07-01,1946-09-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-10-01,1946-12-31 23:59:59.999,880826.8,660110.8,220716,NA,NA,NA,NA,NA,NA,NA,37441.0,NA,NA,NA,NA,NA,843385.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-01-01,1947-03-31 23:59:59.999,NA,NA,NA,0.13030,NA,22.000,NA,0.9,NA,0.9,NA,NA,6.0,156.3,20.7,171.0,NA,165.0,60.7,190.2,NA,46.04561403508772,1199.4,1312.3,1266.2543859649122,NA,12.9,7.5,NA,0.13030557037262822,NA,NA
1947-04-01,1947-06-30 23:59:59.999,NA,NA,NA,0.13135,NA,22.080,NA,0.8,NA,0.9,NA,NA,6.3,160.2,21.4,170.4,NA,164.1,61.9,189.9,NA,47.96725352112676,1219.3,1297.4,1249.432746478873,NA,8.5,5.0,NA,0.13133960228148606,NA,NA
1947-07-01,1947-09-30 23:59:59.999,NA,NA,NA,0.13380,NA,22.840,NA,0.9,NA,1.0,NA,NA,6.5,163.7,21.8,178.0,NA,171.5,63.2,197.8,NA,48.592977528089896,1223.3,1330.7,1282.1070224719104,NA,12.5,7.0,NA,0.13376418426392122,NA,NA
1947-10-01,1947-12-31 23:59:59.999,987385.7,706570.7,280815,0.13713,NA,23.410,NA,0.9,NA,1.0,46468.0,NA,6.4,167.8,23.5,179.8,940917.7,173.4,64.3,200.6,NA,46.682981090100104,1223.6,1311.5,1264.8170189098998,NA,10.2,5.7,NA,0.13709492947007246,NA,NA
1948-01-01,1948-03-31 23:59:59.999,NA,NA,NA,0.13865,NA,23.500,NA,1.0,NA,1.2,NA,NA,7.0,170.5,23.5,185.4,NA,178.4,65.4,206.6,NA,50.491370010787488,1229.8,1337.3,1286.8086299892124,NA,12.8,6.9,4.0,0.138637553278995,NA,NA
1948-04-01,1948-06-30 23:59:59.999,NA,NA,NA,0.14008,NA,24.150,NA,1.0,NA,1.3,NA,NA,6.7,174.3,24.0,193.2,NA,186.5,67.1,212.1,NA,47.82593167701864,1244.1,1379.1,1331.2740683229812,NA,16.7,8.6,3.6,0.14009136393299978,NA,NA
1948-07-01,1948-09-30 23:59:59.999,NA,NA,NA,0.14223,NA,24.360,NA,0.9,NA,1.3,NA,NA,7.1,177.2,25.3,199.4,NA,192.3,68.5,217.6,NA,49.91008024072216,1245.9,1401.7,1351.7899197592778,NA,19.9,10.0,3.8,0.1422558322037526,NA,NA
1948-10-01,1948-12-31 23:59:59.999,1047618.4,733931.4,313687,0.14179,NA,24.050,NA,0.9,NA,1.4,55109.0,NA,7.4,178.1,25.0,199.9,992509.4,192.5,69.4,218.3,NA,52.1775887943972,1255.8,1409.5,1357.322411205603,NA,19.5,9.8,4.0,0.14182334161050016,NA,NA
1949-01-01,1949-03-31 23:59:59.999,NA,NA,NA,0.14069,NA,23.910,NA,0.9,NA,1.4,NA,NA,7.2,177.0,24.4,194.4,NA,187.2,69.8,212.2,NA,51.177777777777776,1257.9,1381.8,1330.6222222222222,NA,15.2,7.8,5.0,0.14068606165870604,NA,NA
1949-04-01,1949-06-30 23:59:59.999,NA,NA,NA,0.13983,NA,23.920,NA,0.8,NA,1.5,NA,NA,7.2,178.6,26.4,194.2,NA,187.0,70.3,211.2,NA,51.482595262615864,1277.1,1388.6,1337.1174047373842,NA,13.2,6.8,6.2,0.13985308944260406,NA,NA
1949-07-01,1949-09-30 23:59:59.999,NA,NA,NA,0.13902,NA,23.750,NA,0.8,NA,1.6,NA,NA,7.1,177.9,27.3,194.3,NA,187.2,70.4,210.6,NA,51.06664951106536,1280.0,1397.5,1346.4333504889346,NA,13.9,7.2,6.6,0.13903398926654742,NA,NA
